,secID,ticker,secShortName,exchangeCD,tradeDate,preClosePrice,actPreClosePrice,openPrice,highestPrice,lowestPrice,closePrice,turnoverVol,negMarketValue,dealAmount,turnoverRate,accumAdjFactor,turnoverValue,marketValue,isOpen,vwap
674,600519.XSHG,600519,贵州茅台,XSHG,2012-10-16,164.072,245.71,163.671,167.657,163.671,166.809,3356287,259347745800,8226.0,0.0027,0.6677445769,690466820,259347745800,1,166.219
675,600519.XSHG,600519,贵州茅台,XSHG,2012-10-17,166.809,249.81,166.809,167.27,165.534,166.122,1933677,258278420400,4595.0,0.0015,0.6677445769,397637472,258278420400,1,166.15
676,600519.XSHG,600519,贵州茅台,XSHG,2012-10-18,166.122,248.78,166.435,169.941,166.268,167.751,2695645,260811579600,6209.0,0.0021,0.6677445769,561905410,260811579600,1,168.421
677,600519.XSHG,600519,贵州茅台,XSHG,2012-10-19,167.751,251.22,167.771,170.248,167.771,168.939,2254174,262659540000,6577.0,0.0018,0.6677445769,472389440,262659540000,1,169.32
678,600519.XSHG,600519,贵州茅台,XSHG,2012-10-22,168.939,253.0,168.726,169.293,165.467,167.297,2313210,260105617200,6876.0,0.0018,0.6677445769,478244288,260105617200,1,167.044
679,600519.XSHG,600519,贵州茅台,XSHG,2012-10-23,167.297,250.54,167.47,167.47,163.33,163.397,2263034,254042646000,5488.0,0.0018,0.6677445769,461008032,254042646000,1,164.594
680,600519.XSHG,600519,贵州茅台,XSHG,2012-10-24,163.397,244.7,163.33,165.013,162.996,164.452,1327622,255682970400,3166.0,0.0011,0.6677445769,269652768,255682970400,1,164.107
681,600519.XSHG,600519,贵州茅台,XSHG,2012-10-25,164.452,246.28,164.933,165.601,163.13,164.312,1108336,255464952600,3740.0,0.0009,0.6677445769,225725456,255464952600,1,164.553
682,600519.XSHG,600519,贵州茅台,XSHG,2012-10-26,164.312,246.07,166.081,166.255,160.305,160.987,2971650,250294816200,7115.0,0.0024,0.6677445769,596652740,250294816200,1,162.226
683,600519.XSHG,600519,贵州茅台,XSHG,2012-10-29,160.987,241.09,161.32,162.663,159.624,161.474,1753387,251052687600,4385.0,0.0014,0.6677445769,349849280,251052687600,1,161.213
684,600519.XSHG,600519,贵州茅台,XSHG,2012-10-30,161.474,241.82,161.461,163.925,161.067,163.317,1888823,253918064400,4592.0,0.0015,0.6677445769,380664736,253918064400,1,162.835
685,600519.XSHG,600519,贵州茅台,XSHG,2012-10-31,163.317,244.58,163.277,165.561,162.696,165.16,1917287,256783441200,5672.0,0.0015,0.6677445769,390460768,256783441200,1,164.545
686,600519.XSHG,600519,贵州茅台,XSHG,2012-11-01,165.16,247.34,165.741,167.504,164.499,166.536,2201142,258922092000,5365.0,0.0018,0.6677445769,453437152,258922092000,1,166.443
687,600519.XSHG,600519,贵州茅台,XSHG,2012-11-02,166.536,249.4,166.402,167.27,164.452,165.841,2053952,257842384800,9161.0,0.0016,0.6677445769,420531712,257842384800,1,165.426
688,600519.XSHG,600519,贵州茅台,XSHG,2012-11-05,165.841,248.36,164.926,164.926,161.06,162.209,2742536,252194685600,8066.0,0.0022,0.6677445769,552311490,252194685600,1,162.715
689,600519.XSHG,600519,贵州茅台,XSHG,2012-11-06,162.209,242.92,161.868,161.868,157.254,157.541,5047301,244937807400,13210.0,0.004,0.6677445769,991450620,244937807400,1,158.711
690,600519.XSHG,600519,贵州茅台,XSHG,2012-11-07,157.541,235.93,156.92,158.943,156.92,158.569,1962328,246536604600,5562.0,0.0016,0.6677445769,383915168,246536604600,1,158.074
691,600519.XSHG,600519,贵州茅台,XSHG,2012-11-08,158.569,237.47,157.581,158.222,156.152,156.319,1967679,243037938000,5290.0,0.0016,0.6677445769,382711584,243037938000,1,157.15
692,600519.XSHG,600519,贵州茅台,XSHG,2012-11-09,156.319,234.1,156.312,157.454,156.025,156.793,1412077,243775045800,3292.0,0.0011,0.6677445769,273825056,243775045800,1,156.679
693,600519.XSHG,600519,贵州茅台,XSHG,2012-11-12,156.793,234.81,156.92,157.441,152.84,154.556,2476184,240297142800,5871.0,0.002,0.6677445769,472928288,240297142800,1,154.315
694,600519.XSHG,600519,贵州茅台,XSHG,2012-11-13,154.556,231.46,154.249,154.249,150.71,152.286,2474180,236767330800,5824.0,0.002,0.6677445769,465306368,236767330800,1,151.951
695,600519.XSHG,600519,贵州茅台,XSHG,2012-11-14,152.286,228.06,152.5,154.249,151.244,154.015,1480856,239456217000,4940.0,0.0012,0.6677445769,280680256,239456217000,1,153.142
696,600519.XSHG,600519,贵州茅台,XSHG,2012-11-15,154.015,230.65,152.914,152.914,151.131,151.745,1379474,235926405000,3926.0,0.0011,0.6677445769,259657232,235926405000,1,152.084
697,600519.XSHG,600519,贵州茅台,XSHG,2012-11-16,151.745,227.25,151.444,151.545,148.573,149.842,2380933,232967592000,6005.0,0.0019,0.6677445769,441363648,232967592000,1,149.777
698,600519.XSHG,600519,贵州茅台,XSHG,2012-11-19,149.842,224.4,149.842,149.842,139.492,142.931,8528565,222222429000,12654.0,0.0068,0.6677445769,1508795010,222222429000,1,142.939
699,600519.XSHG,600519,贵州茅台,XSHG,2012-11-20,142.931,214.05,142.129,145.795,141.896,144.206,4607457,224205352800,7983.0,0.0037,0.6677445769,820492540,224205352800,1,143.883
700,600519.XSHG,600519,贵州茅台,XSHG,2012-11-21,144.206,215.96,144.133,146.77,141.422,146.002,4033491,226998057000,9058.0,0.0032,0.6677445769,719458110,226998057000,1,144.119
701,600519.XSHG,600519,贵州茅台,XSHG,2012-11-22,146.002,218.65,138.557,145.208,138.09,145.094,6234017,225586132200,24057.0,0.005,0.6677445769,1093946880,225586132200,1,141.783
